PR_AUC_Rank,C,l1_ratio,class_weight,Mean_CV_PR_AUC,SD_CV_PR_AUC,Mean_Train_PR_AUC,Mean_CV_ROC_AUC,Mean_CV_Precision_Class_1,Mean_CV_Recall_Class_1,Mean_CV_F1_Class_1,Mean_CV_F1_Macro,Mean_CV_Accuracy,Mean_Fit_Time_Seconds,SD_Fit_Time_Seconds
1,0.1,1.0,balanced,0.17563170864503708,0.004988225527849772,0.1945104516063132,0.5055749736989897,0.1733365608546081,0.46477656855470356,0.25198794701532645,0.4564133515429427,0.5344565217391304,6.107581424713135,3.1405909947763178
2,0.1,1.0,None,0.174829657626084,0.00929392561657696,0.18686526252449132,0.49781187944990946,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,7.786451625823974,7.004219936251907
3,0.01,0.0,balanced,0.17251606514519388,0.0025079911428351653,0.1990917968952611,0.5046684858753935,0.17732146999490508,0.5064432352213702,0.26260691951758647,0.45253678273414355,0.518586956521739,1.4242037773132323,0.20007498097047613
4,0.001,0.0,balanced,0.17224006532652275,0.00542120644805797,0.1936589767453276,0.5006876254107144,0.16917125225796634,0.5539079891169923,0.25885395990006826,0.41772249514745763,0.4622826086956522,0.5358365058898926,0.6942752782107412
5,0.01,0.0,None,0.17185978051741926,0.004077874328418669,0.19214963484765335,0.5012764538164715,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,20.835531997680665,5.485798639250079
6,0.001,0.0,None,0.1713796609750689,0.0070071296625184975,0.19219956966997015,0.49803236002385187,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,2.604888153076172,0.8313203326586024
7,0.1,0.0,balanced,0.17078288315013318,0.004783586350702001,0.20494306682005686,0.5015411694153616,0.175314784711689,0.5269931568966938,0.2629835633567313,0.4425031296336339,0.5006521739130434,3.047082233428955,1.1871460146386652
8,1.0,0.0,balanced,0.1706067376337521,0.0054835101840271724,0.20581440972122786,0.5003541168325942,0.1734776962937024,0.5301962239261274,0.2613032203628853,0.4375545050154709,0.4931521739130435,6.212308073043824,2.5229357126625866
9,10.0,1.0,balanced,0.170599417345418,0.005407146663126502,0.2058713517992526,0.5002815550081566,0.1744549605493242,0.5340506224750597,0.26287777391905853,0.43837175077248275,0.4935869565217391,4.581946229934692,4.893916322675073
10,1000.0,1.0,None,0.17053534467279188,0.00548479553016149,0.20692205700463456,0.5002874317901489,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,2.0464799404144287,0.7885058718802588
